"128v -- Väestöennuste 2019: Väestö iän ja sukupuolen mukaan alueittain, 2019-2040"

"Alue";"Vuosi";"Yhteensä Yhteensä Väestö 31.12. (ennuste 2019)"
"MK15 Pohjanmaa";"2025";179771
"MK15 Pohjanmaa";"2026";179557
"MK15 Pohjanmaa";"2027";179315
"MK15 Pohjanmaa";"2028";179041
"MK15 Pohjanmaa";"2029";178741
"MK15 Pohjanmaa";"2030";178419
"MK15 Pohjanmaa";"2031";178081
"MK15 Pohjanmaa";"2032";177714
"MK15 Pohjanmaa";"2033";177315
"MK15 Pohjanmaa";"2034";176889
"MK15 Pohjanmaa";"2035";176428
"MK15 Pohjanmaa";"2036";175934
"MK15 Pohjanmaa";"2037";175420
"MK15 Pohjanmaa";"2038";174872
"MK15 Pohjanmaa";"2039";174299
"MK15 Pohjanmaa";"2040";173709
"MK16 Keski-Pohjanmaa";"2019";68262
"MK16 Keski-Pohjanmaa";"2020";68082
"MK16 Keski-Pohjanmaa";"2021";67906
"MK16 Keski-Pohjanmaa";"2022";67721
"MK16 Keski-Pohjanmaa";"2023";67536
"MK16 Keski-Pohjanmaa";"2024";67345
"MK16 Keski-Pohjanmaa";"2025";67147
"MK16 Keski-Pohjanmaa";"2026";66935
"MK16 Keski-Pohjanmaa";"2027";66720
"MK16 Keski-Pohjanmaa";"2028";66491
"MK16 Keski-Pohjanmaa";"2029";66256
"MK16 Keski-Pohjanmaa";"2030";66002
"MK16 Keski-Pohjanmaa";"2031";65739
"MK16 Keski-Pohjanmaa";"2032";65467
"MK16 Keski-Pohjanmaa";"2033";65191
"MK16 Keski-Pohjanmaa";"2034";64904
"MK16 Keski-Pohjanmaa";"2035";64627
"MK16 Keski-Pohjanmaa";"2036";64344
"MK16 Keski-Pohjanmaa";"2037";64060
"MK16 Keski-Pohjanmaa";"2038";63780
"MK16 Keski-Pohjanmaa";"2039";63509
"MK16 Keski-Pohjanmaa";"2040";63230
"MK17 Pohjois-Pohjanmaa";"2019";412600
"MK17 Pohjois-Pohjanmaa";"2020";412879
"MK17 Pohjois-Pohjanmaa";"2021";413022
"MK17 Pohjois-Pohjanmaa";"2022";413044
"MK17 Pohjois-Pohjanmaa";"2023";412959
"MK17 Pohjois-Pohjanmaa";"2024";412767
"MK17 Pohjois-Pohjanmaa";"2025";412492
"MK17 Pohjois-Pohjanmaa";"2026";412135
"MK17 Pohjois-Pohjanmaa";"2027";411711
"MK17 Pohjois-Pohjanmaa";"2028";411214
"MK17 Pohjois-Pohjanmaa";"2029";410645
"MK17 Pohjois-Pohjanmaa";"2030";410025
"MK17 Pohjois-Pohjanmaa";"2031";409331
"MK17 Pohjois-Pohjanmaa";"2032";408580
"MK17 Pohjois-Pohjanmaa";"2033";407763
"MK17 Pohjois-Pohjanmaa";"2034";406932
"MK17 Pohjois-Pohjanmaa";"2035";406023
"MK17 Pohjois-Pohjanmaa";"2036";405069
"MK17 Pohjois-Pohjanmaa";"2037";404083
"MK17 Pohjois-Pohjanmaa";"2038";403036
"MK17 Pohjois-Pohjanmaa";"2039";401942
"MK17 Pohjois-Pohjanmaa";"2040";400792
"MK18 Kainuu";"2019";72206
"MK18 Kainuu";"2020";71385
"MK18 Kainuu";"2021";70608
"MK18 Kainuu";"2022";69865
"MK18 Kainuu";"2023";69150
"MK18 Kainuu";"2024";68460
"MK18 Kainuu";"2025";67784
